Broadmeadows Bus Service, Phone: (03) 9357 0005, Online: broadmeadowsbus.com.au,,
CDC Melbourne - Altona Depot, Phone: (03) 9398 2712, Online: cdcvictoria.com.au,,
CDC Melbourne - Sunshine Depot, Phone: (03) 9390 0111, Online: cdcvictoria.com.au,,
CDC Melbourne - Oakleigh Depot, Phone: (03) 8545 6000, Online: cdcvictoria.com.au,,
CDC Melbourne - Werribee Depot, Phone: (03) 9368 6000, Online: cdcvictoria.com.au,,
Cranbourne Transit, Phone: (03) 5996 7333, Online: cranbournetransit.com.au,,
Dysons Bus Service, Phone: (03) 9463 3999, Online: dysongroup.com.au,,
Kastoria Bus Lines, Phone: (03) 9338 1844, Online: kastoria.com.au,,
Kingstons Tours, Phone: (03) 9706 5255, Online: kingstonstours.com.au,,
Martyrs Bus Service, Phone: (03) 5966 2035, Online: martyrs.com.au,,
McKenzie's Tourist Services, Phone: (03) 5962 5088, Online: mckenzies.com.au,,
Moonee Valley Bus Lines, Phone: (03) 9310 5286, Online: mooneevalleybus.com.au,,
Moreland Bus Lines, Phone: (03) 9384 7555, Online: morelandbus.com.au,,
Panorama Coaches, Phone: (03) 9438 3666, Online: panoramacoaches.com.au,,
East West Bus Company, Phone: (03) 9470 3355, Online: reservoirbus.com.au,,dyson group
Reservoir Bus Company, Phone: (03) 9470 3355, Online: reservoirbus.com.au,,dyson group
Ryan Bros Bus Service, Phone: (03) 9335 4666, Online: ryansbus.com.au,,
Sita Bus Lines, Phone: (03) 9689 7999, Online: sitabus.com.au,,
Sunbury Bus Service, Phone: (03) 9744 1177, Online: sunburybus.com.au,,
Transdev Melbourne, Phone: (03) 9488 2100, Online: transdevmelbourne.com.au,,
Tullamarine Bus Lines, Phone: (03) 9338 6466, Online: tullamarinebus.com.au,,
Cardinia Transit, Phone: (03) 5940 2922, Online: venturabus.com.au,,
Ivanhoe Bus Company, Phone: (03) 9457 3236, Online: venturabus.com.au,,
Moorabbin Transit, Phone: (03) 8710 6346, Online: venturabus.com.au,,
Mt Dandenong Passenger Service, Phone: (03) 9723 3529, Online: venturabus.com.au,,
Peninsula Bus Lines, Phone: (03) 9786 7088, Online: venturabus.com.au,,
Portsea Passenger Service, Phone: (03) 5986 5666, Online: venturabus.com.au,,
US Bus Lines, Phone: (03) 9752 1444, Online: venturabus.com.au,,
Ventura Bus Lines, Phone: 1300 836 8872, Online: venturabus.com.au,,
